"","formula","treatment.var","conditional.estimate","conditional.se","conditional.pval","conditional.se.robust","conditional.pval.robust","marginal.estimate","parametric.se","parametric.pval","parametric.tail.pval","nonparametric.se","nonparametric.pval","nonparametric.tail.pval","delta.se","delta.pval"
"1","Y ~ trt","1",1.39843812255951,0.256771073859948,0.0677853964937654,0.256771083577062,0.0677854068968946,1.39843812255951,0.260291389607063,0.0637840175858553,0.0628,0.264988011465416,0.0707896643781228,0.0740000000000001,0.256771073859948,0.0677853964937656
"2","Y ~ trt + X1","1",1.4050064446926,0.258370550678734,0.0644388701108137,0.258450683417264,0.0645216799096916,1.40391745003898,0.268119032724775,0.0668667551507688,0.0700000000000001,0.272381619185532,0.0697646657764842,0.0591999999999999,0.257535922474185,0.0643915400705534
"3","Y ~ trt + X1 + X3","1",1.47300908702757,0.299824667047108,0.0570662965295118,0.300814121639323,0.0578881631541924,1.3715640405039,0.23205095441052,0.0562368496558254,0.0516000000000001,0.236544007935215,0.0617161948095431,0.0648,0.227449090417283,0.0567472138021862
"4","Y ~ trt + X1 + X3 + X8","1",1.44828355923256,0.295768112085208,0.0697346854127902,0.296861248153573,0.0707697954522411,1.35129955259994,0.233053041043115,0.0749717714041034,0.0760000000000001,0.23114171806322,0.0723453662606332,0.0731999999999999,0.224189287418989,0.0695733998459554
